,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Date
318,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Very good,janine,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,I brought these to place under my inflatable hot tub and the are perfect.,2020-03-01
329,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Ideal,John C.,5.0,United Kingdom,Size Name: 12 TILES (48 Square Feet)Colour Name: Black,Verified Purchase,Perfect for my use. Used for the floor where I keep my mobility scooter.,2020-01-29
333,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,"Don't buy, strong chemical smell",Michael Moser Johnsen,1.0,United Kingdom,Size Name: 6 TILES (24 Square Feet)Colour Name: Grey,Verified Purchase,"The mats have a strong chemical smell. When I first open the package I had to take it outside imidiately because of the smell, and even after more than a week outside and after cleaning the mats they still smells. I was going to use the mats for a kids play room but I think any kind of skin contact would be unhealthy.",2020-03-08
361,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great flooring,ZB...,5.0,United Kingdom,Size Name: 36 TILES (144 Square Feet)Colour Name: Orange,Verified Purchase,"Great flooring, cheap, easy to install and perfect for home gym",2020-01-13
362,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Well constructed.,Big T,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,"Easily assemble, comfortable and sturdy in construction.",2020-01-23
365,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Fabulous,MR A S ALBREHT,5.0,United Kingdom,Size Name: 20 TILES (80 Square Feet)Colour Name: Grey,Verified Purchase,"Easy to install,  great look and good feel.",2020-01-31
371,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Foam mats,HANI,5.0,United Kingdom,nan,Verified Purchase,"This is exactly what I was looking for.Perfect foam mats for protecting my kitchen floor.Very easy to assemble, easy to clean and quick delivery.Highly recommend.",2020-02-16
389,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Super confortable,kolep,5.0,United Kingdom,Size Name: 48 TILES (192 Square Feet)Colour Name: Grey,Verified Purchase,I bought this to cover an area in my own gym which I made a stretching zone. The material feels good when on the floor and it keeps warm,2020-03-10
392,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Does that job,David Leslie,4.0,United Kingdom,Size Name: 12 TILES (48 Square Feet)Colour Name: Navy,Verified Purchase,"A couple of squares don’t fully fit into adjacent squares, but so far they have all stayed together during a few workouts. Probably going to order more.",2020-03-28
437,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Not An exercise mat,Ryan T,1.0,United Kingdom,nan,Verified Purchase,Very thin and slippery. Not really suitable for anything but a small child’s toys.,2020-03-27
