Product,Category,Price,Individual Review,Location,Date,Review,Helpful
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-05-02,"They always unlock so to keep them together had to use duck tape on the bottom side to fix those is place. After that works perfect but you obviously can’t unlock them to store . Too thin so if you want them to keep in place buy 3 times thicker.Overall product Is sturdy, no complaints.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2019-12-03,"I wanted to use the garage for something more meaningful than just storage so I decided to convert it into a gym.  I did a bit of research and settled on these tiles.  I am glad I did.  They are childs play to work with, warm, and look quite good, job done!",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-02-26,"Brilliant mats.  Had a problem with my order being delayed but the seller re-dispatched the next day and they arrived the day or so after absolutely brilliant, I'm using them as flooring for my rabbits they're perfect.  10/10!!",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-09,Arrived yesterday and on my 'gym' floor within 10 minutes. I am very impressed with the  comfortable warm feeling under the toes. Obviously very early days but I am going to buy some more to extend the floor area covered. Of course if it all goes nork's north I will provide an update.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,1.0,United Kingdom,2020-06-04,These are such a waste of money please don't make the same mistake i did of buying it. Don't want to end up saying I told you so. I wont even share the details as it is so long,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-06-24,Needed foam mats for our apartments wooden floors cause neighbour downstairs keeps banging when my son is playing. They have helped but could probably do with being thicker than 1cm. They are a bit slippy because of the wood print I think but look ok.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-06-12,Great mats. Unfortunately aren't comparable with other mats due to sizing of the edges. As long as you purchase all this brand would make a great floor covering. Only downside us that they're quite thin compared to my older ones,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-07-18,"Really great quality and nice size, I’ve used mine to go under a large paddling pool and will use them under my trampoline afterwards, should any misfortune happen, I’ve seen too many you tube clips.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-03,"Waterproof, easy to put together, fit togerther nicely, soft, and plenty of edge pieces. The only thing that isnt so good, the double sided stickers they send to hold them down arent very sticky after a while. But there worth the money. I used these fkr my hottub room and they look and feel rely nice.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-06-29,"The mats arrived a few days earlier than expected and were well packaged. I ordered 8 tiles and had to move a couple of them around to get the perfect fit on the corners. I ordered them to add some support and cushioning when doing aerobic exercise at home, so far my knees are grateful! I have used them inside and outside and found them easy to wipe clean of grass and a bit of dirt.",0
